parcel_number,account_id,owner,situs_address,taxes_due,interest_due,penalty_due,total_due,assessed_value,tax_rate,status
APC-114,0512003,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #114,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-116,0512010,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #116,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-118,0512027,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #118,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-120,0512034,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #120,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-122,0512041,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #122,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-124,0512058,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #124,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-126,0512065,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #126,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-139,0512072,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #139,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-141,0512089,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #141,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-143,0512096,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #143,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-144,0512104,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #144,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
